时间,水深(mm),雨量(mm)
2019/9/8 0:26,0,0
2019/9/8 1:26,0,0
2019/9/8 2:26,0,0
2019/9/8 3:26,0,0
2019/9/8 4:26,0,0
2019/9/8 6:26,0,0
2019/9/8 7:26,0,0
2019/9/8 8:26,0,0
2019/9/8 9:26,0,0
2019/9/8 10:26,0,0
2019/9/8 11:26,0,0
2019/9/8 12:26,0,0
2019/9/8 13:26,0,0
2019/9/8 14:26,0,0
2019/9/8 15:26,0,0
2019/9/8 16:26,0,0
2019/9/8 17:26,0,0
2019/9/8 18:26,0,0
2019/9/8 19:26,0,0
2019/9/8 20:26,0,0
2019/9/8 21:26,0,0
2019/9/8 22:26,0,0
2019/9/8 23:26,0,0
2019/9/9 0:26,0,0
